Year;Area;CarbonIntensity
2000;Austria;158
2000;Belgium;270
2000;Bulgaria;476
2000;Croatia;292
2000;Cyprus;849
2000;Czech Republic;688
2000;Denmark;479
2000;Estonia;1116
2000;Finland;164
2000;France;92
2000;Germany;559
2000;Greece;975
2000;Hungary;460
2000;Ireland;674
2000;Italy;396
2000;Latvia;137
2000;Lithuania;112
2000;Luxembourg;96
2000;Malta;839
2000;Netherlands;511
2000;Poland;950
2000;Portugal;484
2000;Romania;461
2000;Slovakia;233
2000;Slovenia;355
2000;Spain;467
2000;Sweden;18
2000;United Kingdom;484
2001;Austria;176
2001;Belgium;257
2001;Bulgaria;525
2001;Croatia;305
2001;Cyprus;787
2001;Czech Republic;687
2001;Denmark;470
2001;Estonia;1087
2001;Finland;210
2001;France;73
2001;Germany;574
2001;Greece;984
2001;Hungary;453
2001;Ireland;694
2001;Italy;383
2001;Latvia;126
2001;Lithuania;98
2001;Luxembourg;167
2001;Malta;1004
2001;Netherlands;522
2001;Poland;940
2001;Portugal;461
2001;Romania;466
2001;Slovakia;219
2001;Slovenia;381
2001;Spain;416
2001;Sweden;20
2001;United Kingdom;504
2002;Austria;168
2002;Belgium;263
2002;Bulgaria;483
2002;Croatia;363
2002;Cyprus;767
2002;Czech Republic;664
2002;Denmark;463
2002;Estonia;1054
2002;Finland;231
2002;France;78
2002;Germany;570
2002;Greece;956
2002;Hungary;446
2002;Ireland;650
2002;Italy;406
2002;Latvia;126
2002;Lithuania;74
2002;Luxembourg;275
2002;Malta;957
2002;Netherlands;518
2002;Poland;936
2002;Portugal;539
2002;Romania;463
2002;Slovakia;199
2002;Slovenia;395
2002;Spain;468
2002;Sweden;27
2002;United Kingdom;494
2003;Austria;213
2003;Belgium;266
2003;Bulgaria;536
2003;Croatia;389
2003;Cyprus;774
2003;Czech Republic;599
2003;Denmark;490
2003;Estonia;1062
2003;Finland;289
2003;France;84
2003;Germany;554
2003;Greece;914
2003;Hungary;504
2003;Ireland;618
2003;Italy;443
2003;Latvia;124
2003;Lithuania;66
2003;Luxembourg;255
2003;Malta;969
2003;Netherlands;522
2003;Poland;946
2003;Portugal;439
2003;Romania;521
2003;Slovakia;221
2003;Slovenia;390
2003;Spain;412
2003;Sweden;36
2003;United Kingdom;502
2004;Austria;197
2004;Belgium;271
2004;Bulgaria;536
2004;Croatia;288
2004;Cyprus;782
2004;Czech Republic;597
2004;Denmark;424
2004;Estonia;1047
2004;Finland;241
2004;France;83
2004;Germany;538
2004;Greece;920
2004;Hungary;453
2004;Ireland;595
2004;Italy;455
2004;Latvia;96
2004;Lithuania;73
2004;Luxembourg;275
2004;Malta;935
2004;Netherlands;507
2004;Poland;939
2004;Portugal;484
2004;Romania;452
2004;Slovakia;227
2004;Slovenia;362
2004;Spain;423
2004;Sweden;22
2004;United Kingdom;513
2005;Austria;189
2005;Belgium;275
2005;Bulgaria;505
2005;Croatia;305
2005;Cyprus;800
2005;Czech Republic;616
2005;Denmark;388
2005;Estonia;1028
2005;Finland;148
2005;France;104
2005;Germany;520
2005;Greece;915
2005;Hungary;377
2005;Ireland;601
2005;Italy;397
2005;Latvia;86
2005;Lithuania;108
2005;Luxembourg;272
2005;Malta;884
2005;Netherlands;494
2005;Poland;924
2005;Portugal;535
2005;Romania;417
2005;Slovakia;196
2005;Slovenia;364
2005;Spain;439
2005;Sweden;18
2005;United Kingdom;503
2006;Austria;183
2006;Belgium;253
2006;Bulgaria;497
2006;Croatia;314
2006;Cyprus;793
2006;Czech Republic;613
2006;Denmark;475
2006;Estonia;984
2006;Finland;248
2006;France;101
2006;Germany;515
2006;Greece;854
2006;Hungary;381
2006;Ireland;552
2006;Italy;389
2006;Latvia;109
2006;Lithuania;104
2006;Luxembourg;272
2006;Malta;885
2006;Netherlands;478
2006;Poland;938
2006;Portugal;450
2006;Romania;463
2006;Slovakia;184
2006;Slovenia;371
2006;Spain;398
2006;Sweden;22
2006;United Kingdom;527
2007;Austria;169
2007;Belgium;242
2007;Bulgaria;602
2007;Croatia;396
2007;Cyprus;796
2007;Czech Republic;615
2007;Denmark;442
2007;Estonia;1015
2007;Finland;221
2007;France;96
2007;Germany;534
2007;Greece;880
2007;Hungary;384
2007;Ireland;527
2007;Italy;381
2007;Latvia;105
2007;Lithuania;91
2007;Luxembourg;269
2007;Malta;887
2007;Netherlands;483
2007;Poland;919
2007;Portugal;421
2007;Romania;563
2007;Slovakia;187
2007;Slovenia;394
2007;Spain;411
2007;Sweden;19
2007;United Kingdom;515
2008;Austria;159
2008;Belgium;238
2008;Bulgaria;568
2008;Croatia;344
2008;Cyprus;793
2008;Czech Republic;602
2008;Denmark;414
2008;Estonia;1009
2008;Finland;163
2008;France;87
2008;Germany;501
2008;Greece;870
2008;Hungary;362
2008;Ireland;494
2008;Italy;371
2008;Latvia;111
2008;Lithuania;85
2008;Luxembourg;245
2008;Malta;862
2008;Netherlands;477
2008;Poland;896
2008;Portugal;416
2008;Romania;516
2008;Slovakia;189
2008;Slovenia;345
2008;Spain;347
2008;Sweden;19
2008;United Kingdom;509
2009;Austria;137
2009;Belgium;213
2009;Bulgaria;526
2009;Croatia;271
2009;Cyprus;776
2009;Czech Republic;572
2009;Denmark;412
2009;Estonia;980
2009;Finland;181
2009;France;79
2009;Germany;496
2009;Greece;854
2009;Hungary;319
2009;Ireland;474
2009;Italy;353
2009;Latvia;93
2009;Lithuania;86
2009;Luxembourg;282
2009;Malta;863
2009;Netherlands;449
2009;Poland;880
2009;Portugal;393
2009;Romania;453
2009;Slovakia;166
2009;Slovenia;331
2009;Spain;317
2009;Sweden;19
2009;United Kingdom;463
2010;Austria;156
2010;Belgium;213
2010;Bulgaria;529
2010;Croatia;216
2010;Cyprus;735
2010;Czech Republic;554
2010;Denmark;368
2010;Estonia;973
2010;Finland;218
2010;France;77
2010;Germany;483
2010;Greece;875
2010;Hungary;325
2010;Ireland;485
2010;Italy;338
2010;Latvia;115
2010;Lithuania;317
2010;Luxembourg;236
2010;Malta;884
2010;Netherlands;445
2010;Poland;868
2010;Portugal;280
2010;Romania;387
2010;Slovakia;140
2010;Slovenia;332
2010;Spain;256
2010;Sweden;26
2010;United Kingdom;471
2011;Austria;164
2011;Belgium;194
2011;Bulgaria;583
2011;Croatia;306
2011;Cyprus;759
2011;Czech Republic;544
2011;Denmark;331
2011;Estonia;992
2011;Finland;179
2011;France;65
2011;Germany;499
2011;Greece;883
2011;Hungary;330
2011;Ireland;456
2011;Italy;327
2011;Latvia;127
2011;Lithuania;264
2011;Luxembourg;235
2011;Malta;879
2011;Netherlands;436
2011;Poland;866
2011;Portugal;333
2011;Romania;458
2011;Slovakia;152
2011;Slovenia;342
2011;Spain;319
2011;Sweden;19
2011;United Kingdom;454
2012;Austria;121
2012;Belgium;208
2012;Bulgaria;525
2012;Croatia;290
2012;Cyprus;757
2012;Czech Republic;508
2012;Denmark;272
2012;Estonia;938
2012;Finland;125
2012;France;69
2012;Germany;505
2012;Greece;869
2012;Hungary;322
2012;Ireland;487
2012;Italy;312
2012;Latvia;85
2012;Lithuania;274
2012;Luxembourg;240
2012;Malta;883
2012;Netherlands;461
2012;Poland;843
2012;Portugal;397
2012;Romania;456
2012;Slovakia;151
2012;Slovenia;333
2012;Spain;333
2012;Sweden;15
2012;United Kingdom;502
2013;Austria;109
2013;Belgium;190
2013;Bulgaria;481
2013;Croatia;206
2013;Cyprus;666
2013;Czech Republic;477
2013;Denmark;311
2013;Estonia;992
2013;Finland;161
2013;France;69
2013;Germany;501
2013;Greece;808
2013;Hungary;288
2013;Ireland;460
2013;Italy;272
2013;Latvia;126
2013;Lithuania;204
2013;Luxembourg;192
2013;Malta;731
2013;Netherlands;472
2013;Poland;841
2013;Portugal;318
2013;Romania;364
2013;Slovakia;132
2013;Slovenia;309
2013;Spain;270
2013;Sweden;15
2013;United Kingdom;467
2014;Austria;94
2014;Belgium;205
2014;Bulgaria;476
2014;Croatia;178
2014;Cyprus;682
2014;Czech Republic;481
2014;Denmark;268
2014;Estonia;993
2014;Finland;140
2014;France;51
2014;Germany;490
2014;Greece;846
2014;Hungary;271
2014;Ireland;450
2014;Italy;257
2014;Latvia;123
2014;Lithuania;186
2014;Luxembourg;200
2014;Malta;715
2014;Netherlands;497
2014;Poland;828
2014;Portugal;299
2014;Romania;331
2014;Slovakia;117
2014;Slovenia;217
2014;Spain;280
2014;Sweden;12
2014;United Kingdom;425
2015;Austria;110
2015;Belgium;227
